wormbase_gene	wormbase_locus	wormbase_gseq	entrezgene_id	description	uniprot_swissprot_accession	Wormbase_mode_of_regulation	Uniprot_mode_of_regulation
WBGene00011520	nhr-213	T06C12.13	188172	Nuclear hormone receptor family member nhr-213  [Source:UniProtKB/Swiss-Prot;Acc:O18048]	O18048		
WBGene00003692	nhr-102	T06C12.6	180062	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q9XVJ1]			
WBGene00003674	nhr-84	T06C12.7	191731	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O45756]			
WBGene00011575	madf-4	T07C12.11	179386	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGG9]			
WBGene00006545	tbx-8	T07C4.2	176450	T-box transcription factor tbx-8  [Source:UniProtKB/Swiss-Prot;Acc:Q22292]	Q22292		
WBGene00006546	tbx-9	T07C4.6	176449	T-box transcription factor tbx-9  [Source:UniProtKB/Swiss-Prot;Acc:Q22289]	Q22289		
WBGene00020320		T07F8.4	174173	ELM2 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P91437]		-1	
WBGene00011601	zim-3	T07G12.11	188246	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O18065]			
WBGene00001867	him-8	T07G12.12	188247	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O18068]			
WBGene00011614	nfya-1	T08D10.1	181368	Nuclear transcription factor Y subunit nfya-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEG1]	G5EEG1		
WBGene00020368	ast-1	T08H4.3	173749	Transcription factor ast-1  [Source:UniProtKB/Swiss-Prot;Acc:Q22355]	Q22355		
WBGene00003656	nhr-66	T09A12.4	177618	Nuclear hormone receptor family member nhr-66  [Source:UniProtKB/Swiss-Prot;Acc:H2KYJ8]	H2KYJ8		
WBGene00011639	ztf-17	T09A5.12	174269	Zinc finger transcription factor family protein 17  [Source:UniProtKB/Swiss-Prot;Acc:P45972]	P45972		
WBGene00020385	nhr-216	T09D3.4	188325	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q23038]			
WBGene00011661	ztf-27	T09F3.1	188340	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EDA0]			
WBGene00020399	ztf-4	T10B11.3	172422	RRM domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZI2]			
WBGene00020460	nhr-273	T12C9.1	188451	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q95QB3]			
WBGene00003699	nhr-109	T12C9.5	173780	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9U371]			
WBGene00003615	nhr-16	T12C9.6	173781	Nuclear hormone receptor family member nhr-16  [Source:UniProtKB/Swiss-Prot;Acc:Q27521]	Q27521		
WBGene00020485	ceh-54	T13C5.4	188474	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q22459]			
WBGene00003717	nhr-127	T13F3.3	188480	Nuclear hormone receptor family member nhr-127  [Source:UniProtKB/Swiss-Prot;Acc:O18087]	O18087		
WBGene00003968	peb-1	T14F9.4	180532	FLYWCH-type zinc finger-containing protein peb-1  [Source:UniProtKB/Swiss-Prot;Acc:A0A5S9MMK5]	A0A5S9MMK5		
WBGene00003018	lin-32	T14F9.5	191703		Q10574		
WBGene00001434	fkh-2	T14G12.4	180663	Forkhead box protein fkh-2  [Source:UniProtKB/Swiss-Prot;Acc:Q22510]	Q22510		
WBGene00003667	nhr-77	T15D6.6	191726	Nuclear hormone receptor family member nhr-77  [Source:UniProtKB/Swiss-Prot;Acc:O02316]	O02316		
WBGene00001952	hlh-6	T15H9.3	188539	Helix-loop-helix protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q10007]	Q10007		
WBGene00003854	odr-7	T18D3.2	181403	Nuclear hormone receptor family member odr-7  [Source:UniProtKB/Swiss-Prot;Acc:P41933]	P41933	1	
WBGene00003509	mxl-1	T19B10.11	179557	Max-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEH5]	G5EEH5		
WBGene00004804	skn-1	T19E7.2	177343	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:V6CLA3]	P34707		
WBGene00003378	mml-1	T20B12.6	176050	BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q8I7I9]	P41846		
WBGene00001974	hmg-4	T20B12.8	176052	FACT complex subunit SSRP1-A  [Source:UniProtKB/Swiss-Prot;Acc:P41848]	P41848		
WBGene00011864		T20F10.2	172897	Si:ch211-1a19.3  [Source:UniProtKB/TrEMBL;Acc:O18092]			
WBGene00020630		T20F7.1	181737	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O02169]			
WBGene00001079	dpy-20	T22B3.1	178105		P34807		
WBGene00001182	egl-13	T22B7.1	180833	Transcription factor egl-13  [Source:UniProtKB/Swiss-Prot;Acc:Q23045]	Q23045		
WBGene00011925		T22C8.4	188732	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q22677]			
WBGene00011926	sptf-2	T22C8.5	188733	Specificity protein transcription factor 2  [Source:UniProtKB/Swiss-Prot;Acc:Q22678]	Q22678		
WBGene00001560	gei-3	T22H6.6	184597	HMG box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q0G834]			
WBGene00020708	dmd-8	T22H9.4	188771	DM domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9TXN8]			
WBGene00000476	cfi-1	T23D8.8	188793	AT-rich interactive domain-containing protein cfi-1  [Source:UniProtKB/Swiss-Prot;Acc:O02326]	O02326	0	
WBGene00011956		T23F11.4	175612	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q22696]			
WBGene00006580	tlp-1	T23G4.1	178338	Zinc finger protein tlp-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGF8]	G5EGF8	1	
WBGene00011964	saeg-2	T23G5.6	176303	Suppressor of activated egl-4 protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q03615]	Q03615		
WBGene00001061	dpl-1	T23G7.1	174458	Transcription factor dpl-1  [Source:UniProtKB/Swiss-Prot;Acc:Q22703]	Q22703		
WBGene00003659	nhr-69	T23H4.2	172840	Nuclear hormone receptor family member nhr-69  [Source:UniProtKB/Swiss-Prot;Acc:P91829]	P91829	-1	
WBGene00020758		T24C4.2	188843	SWIM-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ37]			
WBGene00020763	ztf-18	T24C4.7	175250	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:B9ZSG9]			
WBGene00003180	med-1	T24D3.1	191705	GATA-type domain-containing protein; GATA-type transcription factor  [Source:UniProtKB/TrEMBL;Acc:G5EF71]			
WBGene00012005	jun-1	T24H10.7	174452	Transcription factor jun-1  [Source:UniProtKB/Swiss-Prot;Acc:G5ECU7]	G5ECU7		
WBGene00003003	lin-14	T25C12.1	181337		Q21446	-1	
WBGene00020827		T26A8.4	177643	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q22805]			
WBGene00000444	ceh-21	T26C11.6	180504	Homeobox protein ceh-21  [Source:UniProtKB/Swiss-Prot;Acc:Q22811]	Q22811		
WBGene00000460	ceh-39	T26C11.7	180505	Homeobox protein ceh-39  [Source:UniProtKB/Swiss-Prot;Acc:Q22812]	Q22812	-1	
WBGene00003669	nhr-79	T26H2.9	180265	Nuclear hormone receptor family member nhr-79  [Source:UniProtKB/Swiss-Prot;Acc:O18141]	O18141		
WBGene00003106	mab-9	T27A1.6	173441	T-box protein 12  [Source:UniProtKB/Swiss-Prot;Acc:P90971]	P90971		
WBGene00003933	pat-9	T27B1.2	181714	Zinc finger protein pat-9  [Source:UniProtKB/Swiss-Prot;Acc:Q22829]	Q22829		
WBGene00003025	lin-40	T27C4.4	178788	DIOX_N domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q86S28]			
WBGene00012101	zip-10	T27F2.4	179599	Transcription factor zip-10  [Source:UniProtKB/Swiss-Prot;Acc:Q22835]	Q22835		
WBGene00006796	unc-62	T28F12.2	178845	Homeobox protein unc-62  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5D6]	Q9N5D6		
WBGene00003976	pes-1	T28H11.4	177267	Forkhead box protein pes-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC9]	G5EGC9		
WBGene00020930	hlh-30	W02C12.3	177157	Helix-loop-helix protein 30  [Source:UniProtKB/Swiss-Prot;Acc:H2KZZ2]	H2KZZ2		
WBGene00012209	hmg-20	W02D9.3	173124	HMG box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XVG8]			
WBGene00012210		W02D9.4	189120	Zf-3CxxC domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O02336]			
WBGene00000435	ceh-10	W03A3.1	175811	Homeobox protein ceh-10  [Source:UniProtKB/Swiss-Prot;Acc:P41935]	P41935		
WBGene00003015	lin-29	W03C9.4	174830	Zinc finger transcription factor lin-29  [Source:UniProtKB/Swiss-Prot;Acc:G5EGB2]	G5EGB2		
WBGene00004157	pqn-75	W03D2.1	177165	Basic proline-rich protein  [Source:UniProtKB/TrEMBL;Acc:Q8MQG9]			
WBGene00021000		W03F9.2	178541	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2L0N7]			
WBGene00012277	ccch-3	W05B10.2	179733	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q23170]			
WBGene00003675	nhr-85	W05B5.3	191732	Nuclear hormone receptor family member nhr-85  [Source:UniProtKB/Swiss-Prot;Acc:Q9XUK7]	Q9XUK7		
WBGene00000453	ceh-32	W05E10.3	179603	Homeobox protein ceh-32  [Source:UniProtKB/Swiss-Prot;Acc:Q23175]	Q23175		
WBGene00021047	zfp-3	W05H7.4	180479	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZI3]			
WBGene00012317	ztf-6	W06H12.1	173014	Zinc finger protein ztf-6  [Source:UniProtKB/Swiss-Prot;Acc:G5EC77]	G5EC77		
WBGene00012330	zip-3	W07G1.3	189280	Transcription factor zip-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XUK2]	Q9XUK2		
WBGene00021082	zip-11	W08E12.1	177099	Transcription factor zip-11  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5A8]	Q9N5A8		
WBGene00001249	elt-1	W09C2.1	177794	Transcription factor elt-1  [Source:UniProtKB/Swiss-Prot;Acc:P28515]	P28515		
WBGene00004077	pop-1	W10C8.2	171849		Q10666		0
WBGene00003182	mef-2	W10D5.1	172732	MEF2 transcription factor homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9U325]	Q9U325		
WBGene00001574	gei-17	W10D5.3	172733	E3 SUMO-protein ligase gei-17  [Source:UniProtKB/Swiss-Prot;Acc:Q94361]	Q94361		
WBGene00021132	nfyb-1	W10D9.4	173435	Nuclear transcription factor Y subunit nfyb-1  [Source:UniProtKB/Swiss-Prot;Acc:O17286]	O17286		-1
WBGene00001161	efl-1	Y102A5C.18	180133	E2F/DP family winged-helix DNA-binding domain-containing protein; EFL-1  [Source:UniProtKB/TrEMBL;Acc:G5EF11]			
WBGene00022423	nhr-41	Y104H12A.1	190865	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q3V5L2]			
WBGene00013639		Y105C5A.15	178442	BED-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A078BS51]			
WBGene00013676	ekl-4	Y105E8A.17	173310	SANT_DAMP1_like domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A8XQE0]			
WBGene00013717	madf-10	Y106G6H.4	190925	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XWS3]			
WBGene00044689	arid-1	Y108G3AL.7	4363100	AT-rich interactive domain-containing protein arid-1  [Source:UniProtKB/Swiss-Prot;Acc:A0A0K3AXH1]	A0A0K3AXH1		
WBGene00013734	gldi-8	Y111B2A.10	176678	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9BHL3]			
WBGene00006652	ttx-1	Y113G7A.6	180313	Homeobox protein ttx-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2Z0]	Q9U2Z0		
WBGene00004203	swsn-1	Y113G7B.23	180324	SWI/SNF complex subunit SMARCC2; SWI3-like protein  [Source:UniProtKB/TrEMBL;Acc:G5EF87]			
WBGene00013796		Y116A8C.19	178477	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9U2V2]			
WBGene00013799	athp-3	Y116A8C.22	178479	Zinc finger PHD-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9U2U9]			
WBGene00012435	flh-1	Y11D7A.12	177749	FLYWCH transcription factor 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWR1]	Q9XWR1		
WBGene00003681	nhr-91	Y15E3A.1	181621	Nuclear hormone receptor family member nhr-91  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2R6]	Q9U2R6	1	
WBGene00006743	unc-3	Y16B4A.1	181573	Transcription factor unc-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93705]	Q93705	1	
WBGene00003655	nhr-65	Y17D7A.3	180230	Nuclear hormone receptor family member nhr-65  [Source:UniProtKB/Swiss-Prot;Acc:O45907]	O45907		
WBGene00001977	hmg-12	Y17G7A.1	174829	High mobility group protein hmg-12  [Source:UniProtKB/Swiss-Prot;Acc:G5EDQ2]	G5EDQ2		
WBGene00012474	attf-6	Y18D10A.1	173148	AT hook Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:Q9XW25]			
WBGene00021254		Y22D7AL.16	175319	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q965P0]			
WBGene00012494	nhr-232	Y22F5A.1	179426	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O62412]			
WBGene00012551	cec-7	Y37D8A.11	176704	Chromo domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q69Z09]			
WBGene00021374		Y37E11B.1	177118	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KY65]			
WBGene00012596	nhr-234	Y38E10A.18	189663	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9NAJ3]			
WBGene00012584	ceh-100	Y38E10A.6	174894	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7K714]			
WBGene00012639	fezf-1	Y38H8A.5	3564888	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O62425]			
WBGene00012674	bed-1	Y39B6A.12	180257	BED-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q56VX2]			
WBGene00012703	nhr-145	Y39B6A.47	180255	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9NEV6]			
WBGene00003676	nhr-86	Y40B10A.8	178685	Nuclear hormone receptor family member nhr-86  [Source:UniProtKB/Swiss-Prot;Acc:Q965W2]	Q965W2		
WBGene00012735	sptf-3	Y40B1A.4	189783	Specificity protein transcription factor 3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XW26]	Q9XW26	1	
WBGene00000793	crh-1	Y41C4A.4	176597	CREB homolog crh-1  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2I0]	Q9U2I0		
WBGene00003682	nhr-92	Y41D4B.8	176971	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q95Y07]			
WBGene00003712	nhr-122	Y41D4B.9	189821	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q95Y09]			
WBGene00012832	dmd-3	Y43F8C.10	189878	Doublesex- and mab-3-related transcription factor dmd-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XWN9]	Q9XWN9	1	
WBGene00012854		Y44A6D.3	189900	BrkDBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XXE0]			
WBGene00021552	zip-4	Y44E3B.1	171900	Transcription factor zip-4  [Source:UniProtKB/Swiss-Prot;Acc:H2L0N3]	H2L0N3		
WBGene00003704	nhr-114	Y45G5AM.1	178821	Nuclear hormone receptor 114  [Source:UniProtKB/Swiss-Prot;Acc:G5EEM0]	G5EEM0		
WBGene00044798	tbx-43	Y46E12A.4	4363053	T-box domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q1T6W8]			
WBGene00021610	nhr-237	Y46H3D.6	189970	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AW28]			
WBGene00006553	tbx-34	Y47D3A.10	176549	Putative T-box protein 34  [Source:UniProtKB/Swiss-Prot;Acc:Q9NAH2]	Q9NAH2		
WBGene00006556	tbx-37	Y47D3A.12	189977	T-box protein 37  [Source:UniProtKB/Swiss-Prot;Acc:Q9U2C9]	Q9U2C9		
WBGene00006604	tra-1	Y47D3A.6	176548	Sex-determining transformer protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P34708]	P34708		
WBGene00012943	bed-2	Y47D3B.9	176576	BED-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A5K1IAD3]			
WBGene00021637		Y47G6A.7	171918	Sugar phosphate transporter domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3S9]			
WBGene00001971	hmg-1.1	Y48B6A.14	175081	HMG box domain-containing protein; High mobility group protein 1.1  [Source:UniProtKB/TrEMBL;Acc:G5EFV4]			
WBGene00001162	efl-2	Y48C3A.17	174980	Transcription factor efl-2  [Source:UniProtKB/Swiss-Prot;Acc:A5HWA8]	A5HWA8		
WBGene00012988	ztf-22	Y48C3A.4	174971	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A7R9SUY9]			
WBGene00013006	lin-38	Y48E1B.7	190028	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O45950]			
WBGene00021679		Y48G1C.6	171597	HTH CENPB-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3P2]			
WBGene00001707	grh-1	Y48G8AR.1	190048	Grainyhead-like protein 1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5EDF0]	G5EDF0		
WBGene00021704		Y48G9A.11	190056	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3M8]			
WBGene00004027	pie-1	Y49E10.14	176667	Pharynx and intestine in excess protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q94131]	Q94131		-1
WBGene00003660	nhr-70	Y51A2D.17	180217	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EEL3]			
WBGene00013096	mcd-1	Y51H1A.6	175040	Modifier of cell death  [Source:UniProtKB/Swiss-Prot;Acc:B7FAS0]	B7FAS0		
WBGene00013111	sta-1	Y51H4A.17	178465	Signal transducer and activator of transcription 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9NAD6]	Q9NAD6	1	
WBGene00013100	zip-7	Y51H4A.4	178459	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9NAE4]			
WBGene00002004	hsf-1	Y53C10A.12	173078	Heat shock transcription factor hsf-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EFT5]	G5EFT5		
WBGene00003100	mab-3	Y53C12B.5	174533	Protein male abnormal 3  [Source:UniProtKB/Swiss-Prot;Acc:O18214]	O18214	0	
WBGene00013147	eyg-1	Y53C12C.1	190204	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01996]			
WBGene00021816		Y53G8AR.9	175434	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3F7]			
WBGene00013178		Y53H1A.2	173016	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:B1V8K4]			
WBGene00043056	nfya-2	Y53H1A.5	3565955	Nuclear transcription factor Y subunit nfya-2  [Source:UniProtKB/Swiss-Prot;Acc:Q5ZEP9]	Q5ZEP9		-1
WBGene00021846	ztf-23	Y54E10BR.8	171880	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N3C6]			
WBGene00021848	nhr-239	Y54F10AM.1	190264	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9BKZ8]		1	
WBGene00000464	ceh-44	Y54F10AM.4	80510351	Homeobox protein cut-like ceh-44  [Source:UniProtKB/Swiss-Prot;Acc:Q9BL02]	Q9BL02		
WBGene00021931	znf-782	Y55F3AM.14	190310	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N360]			
WBGene00021942	madf-1	Y55F3BR.5	190316	BESS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:U4PMC7]			
WBGene00013236	znf-593	Y56A3A.18	176624	Zinc finger protein 593 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9U239]	Q9U239		
WBGene00013319	ccch-5	Y57G11C.25	178412	C3H1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O18251]			
WBGene00013350	slr-2	Y59A8B.13	190396	Synthetic with Lin-35/Rb  [Source:RefSeq peptide;Acc:NP_001256772]			
WBGene00012385		Y5F2A.4	178004	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XWL0]			
WBGene00003612	nhr-13	Y5H2B.2	178696	Nuclear hormone receptor family member nhr-13  [Source:UniProtKB/Swiss-Prot;Acc:Q9N4Q7]	Q9N4Q7		
WBGene00013380	memi-2	Y62E10A.14	178305	MEiosis-to-MItosis transition associated  [Source:UniProtKB/TrEMBL;Acc:Q9U1X3]			
WBGene00013383	aptf-2	Y62E10A.17	190458	Transcription factor aptf-2  [Source:UniProtKB/Swiss-Prot;Acc:G2HK15]	G2HK15		
WBGene00000434	ceh-9	Y65B4BR.9	267057	Homeobox protein ceh-9  [Source:UniProtKB/Swiss-Prot;Acc:P56407]	P56407		
WBGene00013425	ceh-91	Y66A7A.5	176594	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7K6J1]			
WBGene00006552	tbx-33	Y66A7A.8	190493	Putative T-box protein 33  [Source:UniProtKB/Swiss-Prot;Acc:O45291]	O45291		
WBGene00013438	ztf-29	Y66D12A.12	176585	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q95Q03]			
WBGene00003652	nhr-62	Y67A6A.2	172836	Nuclear hormone receptor family member nhr-62  [Source:UniProtKB/Swiss-Prot;Acc:O02279]	O02279		
WBGene00022060	dmd-9	Y67D8A.3	190512	DM domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q95XU1]			
WBGene00013465		Y67H2A.10	259340	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q86DA8]			
WBGene00012405	ztf-25	Y6G8.3	180158	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O01709]			
WBGene00006558	tbx-39	Y73F8A.16	190678	Putative T-box protein 39  [Source:UniProtKB/Swiss-Prot;Acc:Q9NA56]	Q9NA56		
WBGene00006559	tbx-40	Y73F8A.17	190679	Putative T-box protein 40  [Source:UniProtKB/Swiss-Prot;Acc:Q9NA55]	Q9NA55		
WBGene00003604	nhr-5	Y73F8A.21	191717	Nuclear hormone receptor family member nhr-5  [Source:UniProtKB/Swiss-Prot;Acc:Q9NA51]	Q9NA51		
WBGene00022278	rcor-1	Y74C9A.4	171592	REST corepressor rcor-1  [Source:UniProtKB/Swiss-Prot;Acc:Q95Y41]	Q95Y41		-1
WBGene00004024	php-3	Y75B8A.1	176640	Homeobox protein php-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XW88]	Q9XW88		
WBGene00003779	nob-1	Y75B8A.2	176641	Homeobox protein nob-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EFY5]	G5EFY5		
WBGene00013560	zip-12	Y75B8A.29	176655	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XW80]			
WBGene00013543		Y75B8A.6	176645	CXXC-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A163VU15]			
WBGene00013580		Y79H2A.3	176638	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H8ESG0]			
WBGene00013583	ceh-51	Y80D3A.3	180233	Homeobox protein ceh-51  [Source:UniProtKB/Swiss-Prot;Acc:Q9U1R1]	Q9U1R1		
WBGene00022349		Y82E9BR.17	259490	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7Z1Q7]			
WBGene00044651	egrh-3	Y94H6A.11	4363076	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:U4PR13]			
WBGene00022388	zfr-1	Y95B8A.8	190806	DZF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:E9RKC7]			
WBGene00022518	zfh-2	ZC123.3	171670	Zinc Finger and Homeobox  [Source:UniProtKB/TrEMBL;Acc:V6CLS4]			
WBGene00022562		ZC204.12	173536	MATH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P91544]			
WBGene00022554	duxl-1	ZC204.2	173537	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:P91547]			
WBGene00003000	lin-11	ZC247.3	172893		P20154		
WBGene00022592	klu-2	ZC328.2	172339	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O02050]			
WBGene00013876	ceh-74	ZC376.4	191149	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q23269]			
WBGene00013878	atfs-1	ZC376.7	179922	Stress activated transcription factor atfs-1  [Source:UniProtKB/Swiss-Prot;Acc:Q23272]	Q23272		
WBGene00022598	ztf-8	ZC395.8	175726	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9GYG1]			
WBGene00003610	nhr-11	ZC410.1	177724	Nuclear hormone receptor family member nhr-11  [Source:UniProtKB/Swiss-Prot;Acc:Q23294]	Q23294		
WBGene00022608	madf-9	ZC416.1	191167	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZH8]			
WBGene00000441	ceh-18	ZC64.3	180671	Homeobox protein ceh-18  [Source:UniProtKB/Swiss-Prot;Acc:P41934]	P41934		
WBGene00002987	lim-4	ZC64.4	180672	LIM/homeobox protein lim-4  [Source:UniProtKB/Swiss-Prot;Acc:G5EEA1]	G5EEA1	1	
WBGene00014232	ttll-4	ZK1128.6	176427	Tubulin polyglutamylase ttll-4  [Source:UniProtKB/Swiss-Prot;Acc:Q09647]	Q09647		
WBGene00022861	dve-1	ZK1193.5	180398	Homeobox protein dve-1  [Source:UniProtKB/Swiss-Prot;Acc:Q86MI0]	Q86MI0		
WBGene00003592	nfi-1	ZK1290.4	174225	Nuclear factor I family protein  [Source:UniProtKB/Swiss-Prot;Acc:Q5H9N3]	Q5H9N3	1	
WBGene00014253		ZK1320.3	174521		Q09365		
WBGene00022671		ZK177.3	191237	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q09659]			
WBGene00022681		ZK185.1	191242	Coiled-coil domain-containing protein 52  [Source:UniProtKB/TrEMBL;Acc:U4PLU8]			
WBGene00000433	ceh-8	ZK265.4	191617	Homeobox protein ceh-8  [Source:UniProtKB/Swiss-Prot;Acc:Q94398]	Q94398		
WBGene00013966	ztf-9	ZK287.6	191283	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q23458]			
WBGene00006544	tbx-7	ZK328.8	260030	Putative T-box protein 7  [Source:UniProtKB/Swiss-Prot;Acc:Q95PX3]	Q95PX3		
WBGene00013970	klu-1	ZK337.2	173366	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O46016]			
